unit,var,0,-10,-20,-31,-50,-100,-250,-500,-1000,-2500,-5000,-10000,-16000
12,k,2.25,0.06,0.03,0.02,1.17E-02,4.51E-03,1.09E-03,3.41E-04,1.03E-04,2.08E-05,6.11E-06,1.79E-06,7.79E-07
12,wc,0.53,0.524,0.519,0.513,0.505,0.488,0.46,0.436,0.411,0.38,0.358,0.337,0.32333
12,z1,0,5.2,8.2,10.5,13,16.4,19.6,21.1,22,22.7,23,23.1,23.2
12,z2,0,3.6,5.4,6.6,8,9.7,11.4,12.1,12.6,12.9,13.1,13.1,13.2
13,k,29.83,13.34,9.39,6.9,4.46E+00,1.88E+00,3.91E-01,9.47E-02,2.08E-02,2.66E-03,5.50E-04,1.14E-04,3.89E-05
13,wc,0.416,0.413,0.407,0.4,0.386,0.351,0.279,0.22,0.168,0.117,0.089,0.069,0.05777
13,z1,0,9.9,19.9,30.7,49.4,97.6,229.6,388.8,537.9,641.4,671.6,684.2,688.2
13,z2,0,9.9,19.7,30.4,48.8,95.4,213.7,332.1,421.3,475.6,490.8,497.1,499.1
14,k,0.9,0.31,0.22,0.17,1.12E-01,5.20E-02,1.22E-02,3.00E-03,6.22E-04,6.83E-05,1.23E-05,2.20E-06,6.80E-07
14,wc,0.417,0.415,0.412,0.408,0.401,0.383,0.34,0.295,0.249,0.194,0.16,0.132,0.1159
14,z1,0,8,15.2,22.4,33.4,54.8,84.5,98.9,105.8,109,109.7,110,110.1
14,z2,0,6.7,12.3,17.7,25.4,39.1,55.8,63.3,66.7,68.3,68.7,68.8,68.9
15,k,87.45,11.56,5.87,3.4,1.69E+00,5.10E-01,8.49E-02,2.02E-02,4.65E-03,6.56E-04,1.49E-04,3.36E-05,1.22E-05
15,wc,0.528,0.512,0.493,0.473,0.444,0.391,0.317,0.266,0.221,0.174,0.145,0.121,0.10691
15,z1,0,9.9,19.8,30.6,48.8,93.5,189.4,260.3,304,329.9,337.8,341.3,342.5
15,z2,0,9.9,19.6,30.2,47.7,88.1,160.1,202.2,225.2,238.3,242.2,244,244.6
16,k,12.36,1.75,0.91,0.54,2.70E-01,8.18E-02,1.32E-02,3.03E-03,6.69E-04,8.89E-05,1.92E-05,4.13E-06,1.46E-06
